sup_avg,inf_avg,inc_avg,lnd_avg,hv_single_soln_avg,nhv_avg,hvd_avg,bhv_avg,length_avg
0.5367132867132867,0.4632867132867133,0.04545454545454545,0.04545454545454545,0.1094678747340816,0.11923360363108007,0.009765728896998466,0.10430672237415796,26
0.5342657342657342,0.4230769230769231,0.08811188811188811,0.04545454545454546,0.7384658997719221,0.7512373756291091,0.012771475857186906,0.7466375701447003,65
0.6625874125874125,0.3374125874125875,0.04545454545454546,0.04545454545454546,0.2592103592155193,0.2725182183157671,0.013307859100247791,0.2629254307472532,78
0.39959294436906373,0.46743554952510175,0.17842605156037994,0.04545454545454546,0.1755730505492788,0.1863770882568762,0.010804037707597398,0.18176662359552384,67
0.56993006993007,0.37762237762237755,0.0979020979020979,0.04545454545454546,0.7465664804774731,0.760765439925072,0.014198959447599021,0.7543199632786096,78
0.648380355276907,0.35161964472309304,0.045454545454545484,0.045454545454545484,0.16227449029390875,0.17105147320539854,0.008776982911489779,0.16561152511808983,174
0.5270793036750484,0.44922630560928434,0.06914893617021277,0.04545454545454549,0.6679334992374358,0.679500613649101,0.011567114411665226,0.6760305007071098,94
0.5694805194805195,0.42012987012987013,0.055844155844155856,0.04545454545454546,0.5495352007387301,0.5607216686901162,0.011186467951386054,0.5568153117781045,140
0.5954545454545455,0.4045454545454545,0.04545454545454544,0.04545454545454544,0.544230511867233,0.5560717901900344,0.011841278322801489,0.5533725162531433,30
0.58147512864494,0.41852487135506,0.045454545454545456,0.045454545454545456,0.06591850313349666,0.07370317231885033,0.0077846691853536674,0.06824282037780023,53
0.6939655172413794,0.30603448275862066,0.04545454545454547,0.04545454545454547,0.20095381784486988,0.2103190923407353,0.0093652744958654,0.20524968307027164,116
0.6084373143196672,0.3749257278669043,0.062091503267973865,0.04545454545454546,0.537047202466205,0.5498499152582359,0.01280271279203081,0.5447030913146824,153
0.6475368207211782,0.3524631792788217,0.04545454545454548,0.04545454545454548,0.3123719875581377,0.32334101312417685,0.010969025566039025,0.3173993436205043,179
0.6414900888585099,0.3523581681476418,0.05160628844839371,0.04545454545454545,0.3532299697919514,0.36323494060560807,0.010004970813656651,0.3593291311975325,266
0.6140734265734265,0.38592657342657344,0.045454545454545456,0.045454545454545456,0.421561834740482,0.43478408614615194,0.013222251405669936,0.42810432660683956,104
0.6252525252525253,0.3747474747474747,0.045454545454545456,0.045454545454545456,0.5092329251424869,0.5236305924101636,0.014397667267676646,0.5158231647301603,45
0.38636363636363635,0.48068181818181815,0.1784090909090909,0.045454545454545456,0.5359300737853219,0.5474967073362939,0.011566633550972025,0.5447069383070883,40
0.6538994000922934,0.3461005999077065,0.04545454545454546,0.04545454545454546,0.3148123969956137,0.32551296819421777,0.010700571198604002,0.319627568245371,197
0.45689655172413784,0.45062695924764895,0.13793103448275862,0.04545454545454546,0.4970552667218991,0.5092912872172677,0.012236020495368701,0.5054494010026213,58
0.6027667984189724,0.3972332015810276,0.045454545454545456,0.045454545454545456,0.5218028075558362,0.5332421087946538,0.01143930123881783,0.5298250527639401,46
0.6332288401253919,0.3667711598746081,0.04545454545454546,0.04545454545454546,0.49435413940347744,0.5075593376727593,0.013205198269281833,0.5006100833069639,58
0.5417613636363636,0.3840909090909091,0.11960227272727272,0.04545454545454546,0.44292903474976064,0.45412810841556955,0.011199073665808865,0.4502487408722729,160
0.8181818181818181,0.18181818181818182,0.045454545454545456,0.045454545454545456,0.5983990468240412,0.6092572684788591,0.0108582216548179,0.5989777075713226,10
0.6983471074380165,0.30165289256198347,0.045454545454545456,0.045454545454545456,0.12621300172812458,0.13384237562432788,0.007629373896203307,0.12892586603573847,11
0.6390958768007947,0.3609041231992052,0.045454545454545484,0.045454545454545484,0.35888507856097634,0.36968321266409776,0.010798134103121337,0.36398816485157454,183
0.6075174825174825,0.3924825174825175,0.045454545454545456,0.045454545454545456,0.5137472444274442,0.527632889872646,0.013885645445201853,0.5211063239630441,52
0.6421277997364954,0.34766139657444006,0.055665349143610016,0.04545454545454546,0.35669205316906566,0.3668605553536242,0.010168502184558555,0.3624737721695018,276
