sup_avg,inf_avg,inc_avg,lnd_avg,uhv_ss_avg,nuhv_avg,uhvd_avg,hv_ss_avg,nhv_avg,hvd_avg,bhv_avg,length_avg
0.20909090909090908,0.6181818181818182,0.26363636363636367,0.09090909090909091,0.09659225244593647,0.10281339112445542,0.00622113867851896,0.09659225244593647,0.10281339112445542,0.00622113867851896,0.10281339112445542,10.0
0.3181818181818182,0.38636363636363635,0.38636363636363635,0.09090909090909091,0.572216441630948,0.5816778844896539,0.009461442858705815,0.572216441630948,0.5816778844896539,0.009461442858705815,0.5816778844896539,4.0
0.18181818181818182,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.3018927913493975,0.3104172895717767,0.008524498222379218,0.3018927913493975,0.3104172895717767,0.008524498222379218,0.3104172895717767,1.0
0.2727272727272727,0.3181818181818182,0.5,0.09090909090909091,0.2554537760741311,0.2636896272276877,0.008235851153556545,0.2554537760741311,0.2636896272276877,0.008235851153556545,0.2636896272276877,2.0
0.09090909090909091,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.09566953912508235,0.09976803222074657,0.004098493095664221,0.09566953912508235,0.09976803222074657,0.004098493095664221,0.09976803222074657,2.0
0.18181818181818182,0.5909090909090909,0.3181818181818182,0.09090909090909091,0.18090722914363855,0.1880047297085658,0.0070975005649272435,0.18090722914363855,0.1880047297085658,0.0070975005649272435,0.1880047297085658,4.0
0.21212121212121213,0.45454545454545453,0.42424242424242425,0.0909090909090909,0.42173444528412984,0.43155201343386707,0.009817568149737221,0.42173444528412984,0.43155201343386707,0.009817568149737221,0.43155201343386707,3.0
0.36363636363636365,0.38636363636363635,0.3409090909090909,0.09090909090909091,0.43608809428466777,0.44295424569735514,0.006866151412687302,0.43608809428466777,0.44295424569735514,0.006866151412687302,0.4429542456973551,4.0
0.2727272727272727,0.5181818181818181,0.3,0.09090909090909091,0.12769632993402494,0.13441297544324748,0.006716645509222548,0.12769632993402494,0.13441297544324748,0.006716645509222548,0.13441297544324746,10.0
0.45454545454545453,0.3333333333333333,0.30303030303030304,0.09090909090909093,0.2390497969510786,0.24507007976901227,0.006020282817933607,0.2390497969510786,0.24507007976901227,0.006020282817933607,0.24507007976901227,6.0
0.32954545454545453,0.43181818181818177,0.32954545454545453,0.09090909090909091,0.186118575940761,0.19363678286883257,0.00751820692807156,0.186118575940761,0.19363678286883257,0.00751820692807156,0.19363678286883257,8.0
0.45454545454545453,0.3181818181818182,0.3181818181818182,0.09090909090909091,0.4497064628955958,0.45865228867792696,0.008945825782331107,0.4497064628955958,0.45865228867792696,0.008945825782331107,0.45865228867792696,2.0
0.3090909090909091,0.39090909090909093,0.39090909090909093,0.09090909090909091,0.3548629817493383,0.3645760592169271,0.009713077467588777,0.3548629817493383,0.3645760592169271,0.009713077467588777,0.3645760592169271,10.0
0.2545454545454545,0.5636363636363635,0.27272727272727265,0.09090909090909091,0.18507747392474355,0.192174347269696,0.007096873344952487,0.18507747392474355,0.192174347269696,0.007096873344952487,0.19217434726969607,10.0
0.23636363636363633,0.47272727272727266,0.38181818181818183,0.09090909090909091,0.2978575267246975,0.30561104346763984,0.00775351674294234,0.2978575267246975,0.30561104346763984,0.00775351674294234,0.30561104346763984,10.0
0.32727272727272727,0.36363636363636365,0.4,0.09090909090909091,0.5736424939904972,0.5833490146494594,0.00970652065896227,0.5736424939904972,0.5833490146494594,0.00970652065896227,0.5833490146494593,5.0
